Text;Delta-Mean;invertiertes;Delta-Mean
DNS_Heyse;0,9002841;1,1107605;
DNS_Immermann;0,9270716;1,0786653;
DNS_Roquette;0,9303805;1,0748291;
DNS_Moerike;0,9310324;1,0740765;
DNS_Alexis;0,9330774;1,0717225;
DNS_Schuecking;0,9371772;1,0670341;
DNS_Zschokke;0,9390312;1,0649274;
DNS_Meissner;0,9413736;1,0622775;
DNS_Muegge;0,9495722;1,0531058;
DNS_Horner;0,9534575;1,0488144;
DNS_Kuernberger;0,9537525;1,04849;
DNS_Keller;0,9568476;1,0450985;
DNS_Schefer;0,9574013;1,0444941;
DNS_Auerbach;0,9620999;1,0393931;
DNS_Droste;0,9646596;1,0366351;
DNS_Waldmueller;0,9673076;1,0337973;
DNS_Schmid;0,9712572;1,0295934;
DNS_Berthold;0,9765445;1,0240188;
DNS_Pichler;0,9828472;1,0174521;
DNS_Mueller;0,9833146;1,0169685;
DNS_Kinkel_Orthodoxie;0,9840931;1,016164;
DNS_Kurz;0,987956;1,0121908;
DNS_Tesche;0,9931789;1,0068679;
DNS_Sternberg;0,9958351;1,0041823;
DNS_Hauff;0,9967998;1,0032105;
DNS_Tieck_Gemaelde;0,9982699;1,0017331;
DNS_Frey;0,998438;1,0015645;
DNS_Ziegler;0,9984966;1,0015057;
DNS_Gotthelf_Kurt;1,000802;0,9991986;
DNS_Meyr;1,0024897;0,9975165;
DNS_Wichert;1,0031198;0,9968899;
DNS_Lewald;1,0037947;0,9962197;
DNS_Andolt;1,0063885;0,993652;
DNS_Wild;1,0081283;0,9919373;
DNS_Halm;1,0127801;0,9873812;
DNS_Spindler;1,0134256;0,9867523;
DNS_Kinkel_Margret;1,0188374;0,9815109;
DNS_Kruse;1,0195995;0,9807773;
DNS_Lohmann;1,0203629;0,9800434;
DNS_Hoffmann;1,022254;0,9782304;
DNS_Kompert;1,0232465;0,9772816;
DNS_Kugler;1,0296546;0,9711995;
DNS_Lorm;1,0301449;0,9707372;
DNS_Raabe;1,0310201;0,9699132;
DNS_Tieck_Lebens;1,0349707;0,966211;
DNS_Schreyvogel;1,035638;0,9655884;
DNS_Dincklage;1,0388441;0,9626083;
DNS_Stifter;1,0397451;0,9617742;
DNS_Gall;1,0418766;0,9598066;
DNS_Chamisso;1,0421678;0,9595384;
DNS_Rumohr;1,0453798;0,9565901;
DNS_Kopisch_Traeumer;1,0454312;0,9565431;
DNS_Grosse;1,0455012;0,9564791;
DNS_Widmann;1,045528;0,9564545;
DNS_Hacklaender;1,0463724;0,9556827;
DNS_Grillparzer;1,050701;0,9517455;
DNS_Kopisch_Karnevalsfest;1,0556826;0,9472544;
DNS_Holtei;1,0587006;0,9445541;
DNS_Grimm;1,0600365;0,9433638;
DNS_Heyden;1,0613543;0,9421925;
DNS_Gluemer;1,0687457;0,9356763;
DNS_Reich;1,0730627;0,931912;
DNS_Arnim;1,0731939;0,9317981;
DNS_Hoefer;1,0750256;0,9302104;
DNS_Ense;1,0767029;0,9287613;
DNS_Storm;1,0832546;0,923144;
DNS_Kaehler;1,0926412;0,9152135;
DNS_Hartmann;1,0988647;0,9100302;
DNS_Wilbrandt;1,1109313;0,9001457;
DNS_Eichendorff;1,1206918;0,892306;
DNS_Wildermuth;1,1302583;0,8847535;
DNS_Ludwig;1,1328442;0,8827339;
DNS_v.W.;1,1344215;0,8815065;
DNS_Traun;1,1447129;0,8735815;
DNS_Brentano;1,1456354;0,872878;
DNS_Goethe;1,1568;0,8644537;
DNS_Sacher-Masoch;1,157214;0,8641444;
DNS_Goldammer_Wiedersehen;1,1709656;0,8539961;
DNS_Kleist;1,1849152;0,8439423;
DNS_Gerstaecker;1,2031713;0,8311368;
DNS_Gotthelf_Notar;1,2201739;0,8195553;
DNS_Riehl;1,2398425;0,8065541;
DNS_Goldammer_Hochzeitsnacht;1,2873774;0,776773;
DNS_Wallner;1,3028123;0,7675703;
DNS_Scheffel;1,343601;0,7442686;
DNS_Wolf;1,403551;0,7124786;
;;;
;;;
Mittelwert;1,04880170348837;0,96063633255814;
Summe;90,1969465;82,6147246;
