,Topic aus Model 1,Topic aus Model 2 ,Übereinstimmende Topic Wörter,,
1,1,39,16,,
2,2,56,19,,
3,3,23,2,,
4,4,54,2,,
5,5,48,15,,
6,6,99,19,,
7,7,94,0,,
8,8,66,17,,
9,9,80,12,,
10,10,67,13,,
11,11,58,17,,
12,12,95,12,,
13,13,17,1,,
14,14,46,17,,
15,15,76,17,,
16,16,30,16,,
17,17,64,16,,
18,18,3,11,,
19,19,90,14,,
20,20,86,18,,
21,21,52,17,,
22,22,74,17,,
23,23,83,18,,
24,24,10,11,,
25,25,51,14,,
26,26,16,16,,
27,27,13,1,,
28,28,49,3,,
29,29,29,19,,
30,30,92,16,,
31,31,87,19,,
32,32,2,15,,
33,33,18,15,,
34,34,43,16,,
35,35,73,18,,
36,36,32,7,,
37,37,8,16,,
38,38,44,16,,
39,39,63,10,,
40,40,98,15,,
41,41,82,1,,
42,42,57,10,,
43,43,72,17,,
44,44,84,19,,
45,45,15,18,,
46,46,97,15,,
47,47,100,4,,
48,48,33,16,,
49,49,68,0,,
50,50,12,16,,
51,51,28,7,,
52,52,1,4,,
53,53,40,13,,
54,54,6,12,,
55,55,53,0,,
56,56,55,17,,
57,57,60,17,,
58,58,22,19,,
59,59,70,19,,
60,60,91,18,,
61,61,79,13,,
62,62,41,17,,
63,63,25,16,,
64,64,50,18,,
65,65,34,19,,
66,66,93,13,,
67,67,89,17,,
68,68,4,14,,
69,69,88,3,,
70,70,37,10,,
71,71,20,5,,
72,72,24,17,,
73,73,65,16,,
74,74,36,16,,
75,75,35,13,,
76,76,61,16,,
77,77,47,10,,
78,78,77,5,,
79,79,81,13,,
80,80,45,18,,
81,81,31,13,,
82,82,21,15,,
83,83,14,14,,
84,84,59,16,,
85,85,19,16,,
86,86,71,19,,
87,87,62,0,,
88,88,42,14,,
89,89,5,6,,
90,90,38,6,,
91,91,26,14,,
92,92,75,11,,
93,93,69,13,,
94,94,78,12,,
95,95,85,14,,
96,96,9,18,,
97,97,27,11,,
98,98,96,15,,
99,99,11,1,,
100,100,7,17,,
,,,,,
,,,,,
,,,,,
,,Summe,der,Überlappungen,1289
,,Topics,mal,Wörter,2000
,,Topic,Keyword,Stability,64.45%
,,DNS,,,
