"","Topic aus Model 1","Topic aus Model 2","Übereinstimmende Topic Wörter"
"1","1",42,15
"2","2",29,8
"3","3",69,12
"4","4",95,17
"5","5",35,8
"6","6",98,19
"7","7",26,14
"8","8",82,19
"9","9",56,19
"10","10",1,12
"11","11",27,1
"12","12",84,8
"13","13",67,7
"14","14",30,2
"15","15",93,8
"16","16",85,15
"17","17",13,2
"18","18",75,10
"19","19",39,13
"20","20",49,13
"21","21",20,17
"22","22",16,9
"23","23",25,10
"24","24",28,2
"25","25",97,17
"26","26",10,16
"27","27",34,13
"28","28",71,0
"29","29",92,12
"30","30",40,9
"31","31",47,14
"32","32",52,19
"33","33",70,2
"34","34",57,14
"35","35",86,13
"36","36",83,14
"37","37",24,15
"38","38",18,15
"39","39",74,16
"40","40",22,1
"41","41",50,0
"42","42",19,5
"43","43",99,15
"44","44",32,10
"45","45",6,16
"46","46",96,18
"47","47",59,17
"48","48",68,13
"49","49",38,14
"50","50",33,0
"51","51",14,11
"52","52",73,9
"53","53",11,9
"54","54",2,19
"55","55",12,16
"56","56",9,18
"57","57",31,6
"58","58",78,9
"59","59",90,17
"60","60",15,1
"61","61",79,13
"62","62",66,14
"63","63",53,5
"64","64",36,7
"65","65",60,19
"66","66",88,8
"67","67",44,4
"68","68",63,8
"69","69",65,13
"70","70",58,8
"71","71",21,15
"72","72",89,16
"73","73",51,10
"74","74",23,7
"75","75",64,16
"76","76",41,0
"77","77",17,10
"78","78",48,19
"79","79",45,11
"80","80",8,11
"81","81",43,20
"82","82",80,17
"83","83",4,13
"84","84",55,11
"85","85",87,12
"86","86",54,20
"87","87",81,17
"88","88",61,16
"89","89",62,12
"90","90",100,1
"91","91",94,12
"92","92",46,17
"93","93",76,17
"94","94",37,5
"95","95",7,0
"96","96",91,13
"97","97",77,2
"98","98",3,9
"99","99",72,17
"100","100",5,2
